id,SkillName,categorytier1,categorytier2,categorytier3,ParentSkillMapping,categorytier5,type
95,Executive Networking,Corporate,HR,Recruitment,Executive Search,Skill,Other
96,Industry Knowledge and Research,Corporate,HR,Recruitment,Executive Search,Skill,Other
97,Candidate Screening and Assessment,Corporate,HR,Recruitment,Executive Search,Skill,Other
98,Competency-Based Interviewing,Corporate,HR,Recruitment,Executive Search,Skill,Other
99,Behavioral Interviewing,Corporate,HR,Recruitment,Executive Search,Skill,Other
100,Executive Assessment Tools and Methods,Corporate,HR,Recruitment,Executive Search,Skill,Other
101,Candidate Engagement and Relationship Building,Corporate,HR,Recruitment,Executive Search,Skill,Other
102,Negotiation and Offer Management,Corporate,HR,Recruitment,Executive Search,Skill,Other
103,Confidentiality and Discretion,Corporate,HR,Recruitment,Executive Search,Skill,Other
104,Executive Compensation and Benefits Knowledge,Corporate,HR,Recruitment,Executive Search,Skill,Other
105,Market Analysis and Talent Mapping,Corporate,HR,Recruitment,Executive Search,Skill,Other
106,Succession Planning,Corporate,HR,Recruitment,Executive Search,Skill,Other
107,Executive Leadership Assessment,Corporate,HR,Recruitment,Executive Search,Skill,Other
108,Cultural Fit Assessment,Corporate,HR,Recruitment,Executive Search,Skill,Other
109,Candidate Due Diligence,Corporate,HR,Recruitment,Executive Search,Skill,Other
110,Strong Communication and Presentation Skills,Corporate,HR,Recruitment,Executive Search,Skill,Other
111,Project Management,Corporate,HR,Recruitment,Executive Search,Skill,Other
112,Data Analysis and Reporting,Corporate,HR,Recruitment,Executive Search,Skill,Other
113,Emotional Intelligence and Empathy,Corporate,HR,Recruitment,Executive Search,Skill,Other
114,Strategic Thinking,Corporate,HR,Recruitment,Executive Search,Skill,Other
115,Adaptability and Flexibility,Corporate,HR,Recruitment,Executive Search,Skill,Other
116,Relationship Management with Board Members and C-Suite Executives,Corporate,HR,Recruitment,Executive Search,Skill,Other
117,Knowledge of Corporate Governance,Corporate,HR,Recruitment,Executive Search,Skill,Other
118,Executive Coaching and Development,Corporate,HR,Recruitment,Executive Search,Skill,Other
119,Industry Trends and Insights,Corporate,HR,Recruitment,Executive Search,Skill,Other
120,Organizational and Industry Benchmarking,Corporate,HR,Recruitment,Executive Search,Skill,Other
121,Executive Talent Pipelining,Corporate,HR,Recruitment,Executive Search,Skill,Other
122,Global Executive Search Expertise,Corporate,HR,Recruitment,Executive Search,Skill,Other
123,Research Skills for Identifying Potential Candidates,Corporate,HR,Recruitment,Executive Search,Skill,Other
124,Teamwork and Collaboration,Corporate,HR,Recruitment,Executive Search,Skill,Other
125,Strong Business Acumen,Corporate,HR,Recruitment,Executive Search,Skill,Other
126,Digital Recruitment Tools and Platforms,Corporate,HR,Recruitment,Executive Search,Skill,Other
127,Understanding of Regulatory Compliance and Legal Considerations,Corporate,HR,Recruitment,Executive Search,Skill,Other
128,Ability to Navigate Complex Search Assignments,Corporate,HR,Recruitment,Executive Search,Skill,Other
129,Strong Decision-Making Skills,Corporate,HR,Recruitment,Executive Search,Skill,Other
130,Problem-Solving Skills,Corporate,HR,Recruitment,Executive Search,Skill,Other
131,Vendor and Stakeholder Management,Corporate,HR,Recruitment,Executive Search,Skill,Other
132,Data Collection Techniques,Corporate,HR,Recruitment,Job Analysis,Skill,Other
133,Interviewing Skills,Corporate,HR,Recruitment,Job Analysis,Skill,Other
134,Questionnaire Design,Corporate,HR,Recruitment,Job Analysis,Skill,Other
135,Observation Techniques,Corporate,HR,Recruitment,Job Analysis,Skill,Other
136,Critical Thinking,Corporate,HR,Recruitment,Job Analysis,Skill,Other
137,Analytical Skills,Corporate,HR,Recruitment,Job Analysis,Skill,Other
138,Research Skills,Corporate,HR,Recruitment,Job Analysis,Skill,Other
139,Data Analysis and Interpretation,Corporate,HR,Recruitment,Job Analysis,Skill,Other
140,Job Description Development,Corporate,HR,Recruitment,Job Analysis,Skill,Other
141,Task Analysis,Corporate,HR,Recruitment,Job Analysis,Skill,Other
142,Competency Mapping,Corporate,HR,Recruitment,Job Analysis,Skill,Other
143,Knowledge of Occupational Classification Systems,Corporate,HR,Recruitment,Job Analysis,Skill,Other
144,Statistical Analysis,Corporate,HR,Recruitment,Job Analysis,Skill,Other
145,Decision-Making Skills,Corporate,HR,Recruitment,Job Analysis,Skill,Other
146,Organizational Skills,Corporate,HR,Recruitment,Job Analysis,Skill,Other
147,Attention to Detail,Corporate,HR,Recruitment,Job Analysis,Skill,Other
148,Effective Communication Skills,Corporate,HR,Recruitment,Job Analysis,Skill,Other
149,Report Writing,Corporate,HR,Recruitment,Job Analysis,Skill,Other
150,Documentation Skills,Corporate,HR,Recruitment,Job Analysis,Skill,Other
151,Project Management,Corporate,HR,Recruitment,Job Analysis,Skill,Other
152,Collaboration and Teamwork,Corporate,HR,Recruitment,Job Analysis,Skill,Other
153,Presentation Skills,Corporate,HR,Recruitment,Job Analysis,Skill,Other
154,Time Management,Corporate,HR,Recruitment,Job Analysis,Skill,Other
155,Problem-Solving Skills,Corporate,HR,Recruitment,Job Analysis,Skill,Other
156,Interview Skills,Corporate,HR,Recruitment,Job Analysis,Skill,Other
157,Facilitation Skills,Corporate,HR,Recruitment,Job Analysis,Skill,Other
158,Technical Writing Skills,Corporate,HR,Recruitment,Job Analysis,Skill,Other
159,Boolean Search Techniques,Corporate,HR,Recruitment,Candidate Sourcing,Skill,Other
160,Online Job Boards,Corporate,HR,Recruitment,Candidate Sourcing,Skill,Other
161,Social Media Recruiting,Corporate,HR,Recruitment,Candidate Sourcing,Skill,Other
162,Candidate Database Management,Corporate,HR,Recruitment,Candidate Sourcing,Skill,Other
163,Networking Skills,Corporate,HR,Recruitment,Candidate Sourcing,Skill,Other
164,Referral Programs,Corporate,HR,Recruitment,Candidate Sourcing,Skill,Other
165,Direct Sourcing,Corporate,HR,Recruitment,Candidate Sourcing,Skill,Other
166,Talent Pipelining,Corporate,HR,Recruitment,Candidate Sourcing,Skill,Other
167,Market Research,Corporate,HR,Recruitment,Candidate Sourcing,Skill,Other
168,Competitor Analysis,Corporate,HR,Recruitment,Candidate Sourcing,Skill,Other
169,Search Engine Optimization (SEO),Corporate,HR,Recruitment,Candidate Sourcing,Skill,Other
170,Search Strings and Keywords,Corporate,HR,Recruitment,Candidate Sourcing,Skill,Other
171,Candidate Outreach and Engagement,Corporate,HR,Recruitment,Candidate Sourcing,Skill,Other
172,Cold Calling,Corporate,HR,Recruitment,Candidate Sourcing,Skill,Other
173,Email Marketing,Corporate,HR,Recruitment,Candidate Sourcing,Skill,Other
174,ATS and CRM Systems,Corporate,HR,Recruitment,Candidate Sourcing,Skill,Other
175,Data Mining,Corporate,HR,Recruitment,Candidate Sourcing,Skill,Other
176,Advanced Internet Research,Corporate,HR,Recruitment,Candidate Sourcing,Skill,Other
177,LinkedIn Recruiter,Corporate,HR,Recruitment,Candidate Sourcing,Skill,Other
178,Boolean Operators,Corporate,HR,Recruitment,Candidate Sourcing,Skill,Other
179,Industry Knowledge,Corporate,HR,Recruitment,Candidate Sourcing,Skill,Other
180,Candidate Screening,Corporate,HR,Recruitment,Candidate Sourcing,Skill,Other
181,Candidate Evaluation,Corporate,HR,Recruitment,Candidate Sourcing,Skill,Other
182,Candidate Tracking,Corporate,HR,Recruitment,Candidate Sourcing,Skill,Other
183,Relationship Building,Corporate,HR,Recruitment,Candidate Sourcing,Skill,Other
184,Time Management,Corporate,HR,Recruitment,Candidate Sourcing,Skill,Other
185,Organizational Skills,Corporate,HR,Recruitment,Candidate Sourcing,Skill,Other
186,Communication Skills,Corporate,HR,Recruitment,Candidate Sourcing,Skill,Other
187,Negotiation Skills,Corporate,HR,Recruitment,Candidate Sourcing,Skill,Other
188,Analytical Skills,Corporate,HR,Recruitment,Candidate Sourcing,Skill,Other
189,Attention to Detail,Corporate,HR,Recruitment,Candidate Sourcing,Skill,Other
190,Multitasking,Corporate,HR,Recruitment,Candidate Sourcing,Skill,Other
191,Creativity,Corporate,HR,Recruitment,Candidate Sourcing,Skill,Other
192,Problem-Solving Skills,Corporate,HR,Recruitment,Candidate Sourcing,Skill,Other
193,Adaptability,Corporate,HR,Recruitment,Candidate Sourcing,Skill,Other
194,Persistence,Corporate,HR,Recruitment,Candidate Sourcing,Skill,Other
195,Resume Screening,Corporate,HR,Recruitment,Candidate Screening,Skill,Other
196,Application Review,Corporate,HR,Recruitment,Candidate Screening,Skill,Other
197,Candidate Evaluation,Corporate,HR,Recruitment,Candidate Screening,Skill,Other
198,Phone Screening,Corporate,HR,Recruitment,Candidate Screening,Skill,Other
199,Interviewing Skills,Corporate,HR,Recruitment,Candidate Screening,Skill,Other
200,Behavioral Interviewing,Corporate,HR,Recruitment,Candidate Screening,Skill,Other
201,Technical Interviewing,Corporate,HR,Recruitment,Candidate Screening,Skill,Other
202,Competency-Based Interviewing,Corporate,HR,Recruitment,Candidate Screening,Skill,Other
203,Assessment Test Administration,Corporate,HR,Recruitment,Candidate Screening,Skill,Other
204,Reference Checking,Corporate,HR,Recruitment,Candidate Screening,Skill,Other
205,Background Checks,Corporate,HR,Recruitment,Candidate Screening,Skill,Other
206,Job Fit Assessment,Corporate,HR,Recruitment,Candidate Screening,Skill,Other
207,Skills Assessment,Corporate,HR,Recruitment,Candidate Screening,Skill,Other
208,Qualification Verification,Corporate,HR,Recruitment,Candidate Screening,Skill,Other
209,Candidate Ranking and Scoring,Corporate,HR,Recruitment,Candidate Screening,Skill,Other
210,Attention to Detail,Corporate,HR,Recruitment,Candidate Screening,Skill,Other
211,Critical Thinking,Corporate,HR,Recruitment,Candidate Screening,Skill,Other
212,Analytical Skills,Corporate,HR,Recruitment,Candidate Screening,Skill,Other
213,Decision-Making Skills,Corporate,HR,Recruitment,Candidate Screening,Skill,Other
214,Problem-Solving Skills,Corporate,HR,Recruitment,Candidate Screening,Skill,Other
215,Communication Skills,Corporate,HR,Recruitment,Candidate Screening,Skill,Other
216,Interpersonal Skills,Corporate,HR,Recruitment,Candidate Screening,Skill,Other
217,Time Management,Corporate,HR,Recruitment,Candidate Screening,Skill,Other
218,Organizational Skills,Corporate,HR,Recruitment,Candidate Screening,Skill,Other
219,Attention to Legal and Ethical Guidelines,Corporate,HR,Recruitment,Candidate Screening,Skill,Other
220,Multitasking,Corporate,HR,Recruitment,Candidate Screening,Skill,Other
221,Adaptability,Corporate,HR,Recruitment,Candidate Screening,Skill,Other
222,Conflict Resolution,Corporate,HR,Recruitment,Candidate Screening,Skill,Other
223,Interview Note-Taking,Corporate,HR,Recruitment,Candidate Screening,Skill,Other
224,Data Analysis and Interpretation,Corporate,HR,Recruitment,Candidate Screening,Skill,Other
225,"Technology Proficiency (e.g., ATS, screening software)",Corporate,HR,Recruitment,Candidate Screening,Skill,Other
226,Teamwork and Collaboration,Corporate,HR,Recruitment,Candidate Screening,Skill,Other
227,Objectivity,Corporate,HR,Recruitment,Candidate Screening,Skill,Other
228,Interview Evaluation,Corporate,HR,Recruitment,Candidate Screening,Skill,Other
229,Feedback and Reporting,Corporate,HR,Recruitment,Candidate Screening,Skill,Other
230,Candidate Experience Management,Corporate,HR,Recruitment,Candidate Screening,Skill,Other
231,Behavioral Interviewing,Corporate,HR,Recruitment,Interview Techniques,Skill,Other
232,Competency-Based Interviewing,Corporate,HR,Recruitment,Interview Techniques,Skill,Other
233,Structured Interviewing,Corporate,HR,Recruitment,Interview Techniques,Skill,Other
234,Situational Interviewing,Corporate,HR,Recruitment,Interview Techniques,Skill,Other
235,Panel Interviewing,Corporate,HR,Recruitment,Interview Techniques,Skill,Other
236,Phone Interviewing,Corporate,HR,Recruitment,Interview Techniques,Skill,Other
237,Group Interviewing,Corporate,HR,Recruitment,Interview Techniques,Skill,Other
238,Technical Interviewing,Corporate,HR,Recruitment,Interview Techniques,Skill,Other
239,Stress Interviewing,Corporate,HR,Recruitment,Interview Techniques,Skill,Other
240,Case Interviewing,Corporate,HR,Recruitment,Interview Techniques,Skill,Other
241,Cultural Fit Interviewing,Corporate,HR,Recruitment,Interview Techniques,Skill,Other
242,Probing and Follow-up Questions,Corporate,HR,Recruitment,Interview Techniques,Skill,Other
243,Active Listening,Corporate,HR,Recruitment,Interview Techniques,Skill,Other
244,Nonverbal Communication,Corporate,HR,Recruitment,Interview Techniques,Skill,Other
245,Empathy and Emotional Intelligence,Corporate,HR,Recruitment,Interview Techniques,Skill,Other
246,Conflict Resolution,Corporate,HR,Recruitment,Interview Techniques,Skill,Other
247,Problem-Solving Skills,Corporate,HR,Recruitment,Interview Techniques,Skill,Other
248,Critical Thinking,Corporate,HR,Recruitment,Interview Techniques,Skill,Other
249,Decision-Making Skills,Corporate,HR,Recruitment,Interview Techniques,Skill,Other
250,Flexibility and Adaptability,Corporate,HR,Recruitment,Interview Techniques,Skill,Other
251,Communication Skills,Corporate,HR,Recruitment,Interview Techniques,Skill,Other
252,Interpersonal Skills,Corporate,HR,Recruitment,Interview Techniques,Skill,Other
253,Time Management,Corporate,HR,Recruitment,Interview Techniques,Skill,Other
254,Organizational Skills,Corporate,HR,Recruitment,Interview Techniques,Skill,Other
255,Attention to Detail,Corporate,HR,Recruitment,Interview Techniques,Skill,Other
256,Analytical Skills,Corporate,HR,Recruitment,Interview Techniques,Skill,Other
257,Interview Evaluation,Corporate,HR,Recruitment,Interview Techniques,Skill,Other
258,Candidate Engagement,Corporate,HR,Recruitment,Interview Techniques,Skill,Other
259,Interview Note-Taking,Corporate,HR,Recruitment,Interview Techniques,Skill,Other
260,Interview Rating and Scoring,Corporate,HR,Recruitment,Interview Techniques,Skill,Other
261,Interview Feedback and Reporting,Corporate,HR,Recruitment,Interview Techniques,Skill,Other
262,Technology Proficiency,Corporate,HR,Recruitment,Interview Techniques,Skill,Other
263,Professionalism and Ethical Conduct,Corporate,HR,Recruitment,Interview Techniques,Skill,Other
264,Asking Open-Ended Questions,Corporate,HR,Recruitment,Behavioral Interviewing,Skill,Other
265,Active Listening,Corporate,HR,Recruitment,Behavioral Interviewing,Skill,Other
266,Probing for Details,Corporate,HR,Recruitment,Behavioral Interviewing,Skill,Other
267,Clarifying Ambiguities,Corporate,HR,Recruitment,Behavioral Interviewing,Skill,Other
268,Understanding Motivations and Values,Corporate,HR,Recruitment,Behavioral Interviewing,Skill,Other
269,Assessing Problem-Solving Skills,Corporate,HR,Recruitment,Behavioral Interviewing,Skill,Other
270,Evaluating Communication Skills,Corporate,HR,Recruitment,Behavioral Interviewing,Skill,Other
271,Analyzing Decision-Making Abilities,Corporate,HR,Recruitment,Behavioral Interviewing,Skill,Other
272,Measuring Adaptability and Flexibility,Corporate,HR,Recruitment,Behavioral Interviewing,Skill,Other
273,Assessing Leadership Potential,Corporate,HR,Recruitment,Behavioral Interviewing,Skill,Other
274,Understanding Teamwork and Collaboration,Corporate,HR,Recruitment,Behavioral Interviewing,Skill,Other
275,Identifying Conflict Resolution Skills,Corporate,HR,Recruitment,Behavioral Interviewing,Skill,Other
276,Evaluating Time Management,Corporate,HR,Recruitment,Behavioral Interviewing,Skill,Other
277,Assessing Organizational Skills,Corporate,HR,Recruitment,Behavioral Interviewing,Skill,Other
278,Measuring Attention to Detail,Corporate,HR,Recruitment,Behavioral Interviewing,Skill,Other
279,Evaluating Critical Thinking Abilities,Corporate,HR,Recruitment,Behavioral Interviewing,Skill,Other
280,Assessing Customer Service Orientation,Corporate,HR,Recruitment,Behavioral Interviewing,Skill,Other
281,Understanding Initiative and Drive,Corporate,HR,Recruitment,Behavioral Interviewing,Skill,Other
282,Assessing Goal Orientation,Corporate,HR,Recruitment,Behavioral Interviewing,Skill,Other
283,Evaluating Resilience and Stress Management,Corporate,HR,Recruitment,Behavioral Interviewing,Skill,Other
284,Identifying Creativity and Innovation,Corporate,HR,Recruitment,Behavioral Interviewing,Skill,Other
285,Understanding Ethics and Integrity,Corporate,HR,Recruitment,Behavioral Interviewing,Skill,Other
286,Assessing Cultural Fit,Corporate,HR,Recruitment,Behavioral Interviewing,Skill,Other
287,Evaluating Conflict Management Skills,Corporate,HR,Recruitment,Behavioral Interviewing,Skill,Other
288,Measuring Emotional Intelligence,Corporate,HR,Recruitment,Behavioral Interviewing,Skill,Other
289,Assessing Problem-Solving Abilities,Corporate,HR,Recruitment,Behavioral Interviewing,Skill,Other
290,Understanding Analytical Skills,Corporate,HR,Recruitment,Behavioral Interviewing,Skill,Other
291,Evaluating Relationship Building Skills,Corporate,HR,Recruitment,Behavioral Interviewing,Skill,Other
292,Identifying Influence and Persuasion Skills,Corporate,HR,Recruitment,Behavioral Interviewing,Skill,Other
293,Assessing Change Management Abilities,Corporate,HR,Recruitment,Behavioral Interviewing,Skill,Other
294,Workday,Corporate,HR,Recruitment,Application Tracking Systems,System or Service,Other
295,BambooHR,Corporate,HR,Recruitment,Application Tracking Systems,System or Service,Other
296,Greenhouse,Corporate,HR,Recruitment,Application Tracking Systems,System or Service,Other
297,iCIMS,Corporate,HR,Recruitment,Application Tracking Systems,System or Service,Other
298,Jobvite,Corporate,HR,Recruitment,Application Tracking Systems,System or Service,Other
299,Kenexa BrassRing,Corporate,HR,Recruitment,Application Tracking Systems,System or Service,Other
300,Oracle Taleo,Corporate,HR,Recruitment,Application Tracking Systems,System or Service,Other
301,SAP SuccessFactors,Corporate,HR,Recruitment,Application Tracking Systems,System or Service,Other
302,Workable,Corporate,HR,Recruitment,Application Tracking Systems,System or Service,Other
303,Zoho Recruit,Corporate,HR,Recruitment,Application Tracking Systems,System or Service,Other
304,ApplicantStack,Corporate,HR,Recruitment,Application Tracking Systems,System or Service,Other
305,SmartRecruiters,Corporate,HR,Recruitment,Application Tracking Systems,System or Service,Other
306,Lever,Corporate,HR,Recruitment,Application Tracking Systems,System or Service,Other
307,Recruitee,Corporate,HR,Recruitment,Application Tracking Systems,System or Service,Other
308,CATS Applicant Tracking System,Corporate,HR,Recruitment,Application Tracking Systems,System or Service,Other
309,ClearCompany,Corporate,HR,Recruitment,Application Tracking Systems,System or Service,Other
310,JobAdder,Corporate,HR,Recruitment,Application Tracking Systems,System or Service,Other
311,Teamtailor,Corporate,HR,Recruitment,Application Tracking Systems,System or Service,Other
312,UltiPro,Corporate,HR,Recruitment,Application Tracking Systems,System or Service,Other
313,CEIPAL TalentHire,Corporate,HR,Recruitment,Application Tracking Systems,System or Service,Other
314,JobScore,Corporate,HR,Recruitment,Application Tracking Systems,System or Service,Other
315,JazzHR,Corporate,HR,Recruitment,Application Tracking Systems,System or Service,Other
316,JobDiva,Corporate,HR,Recruitment,Application Tracking Systems,System or Service,Other
317,TrackerRMS,Corporate,HR,Recruitment,Application Tracking Systems,System or Service,Other
318,Employer Value Proposition (EVP) Development,Corporate,HR,Recruitment,Employer Branding,System or Service,Other
319,Brand Messaging and Storytelling,Corporate,HR,Recruitment,Employer Branding,System or Service,Other
320,Employer Brand Strategy,Corporate,HR,Recruitment,Employer Branding,System or Service,Other
321,Internal Communication,Corporate,HR,Recruitment,Employer Branding,System or Service,Other
322,External Communication and PR,Corporate,HR,Recruitment,Employer Branding,System or Service,Other
323,Content Creation and Copywriting,Corporate,HR,Recruitment,Employer Branding,System or Service,Other
324,Social Media Management,Corporate,HR,Recruitment,Employer Branding,System or Service,Other
325,Employer Branding Campaigns,Corporate,HR,Recruitment,Employer Branding,System or Service,Other
326,Employee Advocacy Programs,Corporate,HR,Recruitment,Employer Branding,System or Service,Other
327,Employer Branding Metrics and Analytics,Corporate,HR,Recruitment,Employer Branding,System or Service,Other
328,Creative Design,Corporate,HR,Recruitment,Employer Branding,System or Service,Other
329,Employer Branding Events and Activities,Corporate,HR,Recruitment,Employer Branding,System or Service,Other
330,Employer Brand Research and Insights,Corporate,HR,Recruitment,Employer Branding,System or Service,Other
331,Employer Brand Activation,Corporate,HR,Recruitment,Employer Branding,System or Service,Other
332,Employer Brand Monitoring and Reputation Management,Corporate,HR,Recruitment,Employer Branding,System or Service,Other
333,Talent Attraction Strategies,Corporate,HR,Recruitment,Employer Branding,System or Service,Other
334,Candidate Experience Management,Corporate,HR,Recruitment,Employer Branding,System or Service,Other
335,Employer Brand Training and Education,Corporate,HR,Recruitment,Employer Branding,System or Service,Other
336,Employer Branding Partnerships and Collaborations,Corporate,HR,Recruitment,Employer Branding,System or Service,Other
337,Internal Brand Ambassador Programs,Corporate,HR,Recruitment,Employer Branding,System or Service,Other
338,Employer Branding Collateral and Materials,Corporate,HR,Recruitment,Employer Branding,System or Service,Other
339,Employee Value Proposition Communication,Corporate,HR,Recruitment,Employer Branding,System or Service,Other
340,Employer Branding ROI Analysis,Corporate,HR,Recruitment,Employer Branding,System or Service,Other
341,Employer Branding Technology and Tools,Corporate,HR,Recruitment,Employer Branding,System or Service,Other
342,Employer Branding Budgeting and Resource Management,Corporate,HR,Recruitment,Employer Branding,System or Service,Other
343,Employer Branding Best Practices,Corporate,HR,Recruitment,Employer Branding,System or Service,Other
344,Preparation and Planning,Corporate,HR,Recruitment,Negotiation Management,System or Service,Other
345,Active Listening,Corporate,HR,Recruitment,Negotiation Management,System or Service,Other
346,Effective Communication,Corporate,HR,Recruitment,Negotiation Management,System or Service,Other
347,Problem-Solving,Corporate,HR,Recruitment,Negotiation Management,System or Service,Other
348,Analytical Thinking,Corporate,HR,Recruitment,Negotiation Management,System or Service,Other
349,Emotional Intelligence,Corporate,HR,Recruitment,Negotiation Management,System or Service,Other
350,Flexibility and Adaptability,Corporate,HR,Recruitment,Negotiation Management,System or Service,Other
351,Assertiveness,Corporate,HR,Recruitment,Negotiation Management,System or Service,Other
352,Persuasion and Influence,Corporate,HR,Recruitment,Negotiation Management,System or Service,Other
353,Collaboration and Teamwork,Corporate,HR,Recruitment,Negotiation Management,System or Service,Other
354,Conflict Resolution,Corporate,HR,Recruitment,Negotiation Management,System or Service,Other
355,Decision-Making,Corporate,HR,Recruitment,Negotiation Management,System or Service,Other
356,Strategic Thinking,Corporate,HR,Recruitment,Negotiation Management,System or Service,Other
357,Creative Problem-Solving,Corporate,HR,Recruitment,Negotiation Management,System or Service,Other
358,Negotiation Tactics and Techniques,Corporate,HR,Recruitment,Negotiation Management,System or Service,Other
